experiment_id,factor,train_domain,val_domain,test_domain,split,seed,checkpoint_rule,checkpoint_path,FOV,ghost_ratio,sampling,loss,intensity_method,mIoU,precision,recall,F1,IoU_ghost,AP,source_file,record_status,authority_rank
e3_target_fovcommon_seed2028,E3_common_FOV,3DRef_fov_common,3DRef_fov_common,val,val,2028,best_F1_on_val,data/e3_target_fovcommon_seed2028/best_model.pth,common(±13.45deg),,priority,focal,none,0.8869,0.8425,0.9682,0.901,0.8198,0.943144,data/e3_target_fovcommon_seed2028/final_results.json,formal,1
e4_ce_priority_seed2026,E4_loss_sampling_ablation,3DRef,3DRef,val,val,2026,best_F1_on_val,data/e4_ce_priority_seed2026/best_model.pth,full,,priority,ce,none,0.9778,0.9816,0.9888,0.9852,0.9709,0.9971407393048898,data/e4_ce_priority_seed2026/final_results.json,formal,1
e4_ce_priority_seed2027,E4_loss_sampling_ablation,3DRef,3DRef,val,val,2027,best_F1_on_val,data/e4_ce_priority_seed2027/best_model.pth,full,,priority,ce,none,0.9801,0.9823,0.9913,0.9868,0.9739,0.9976337204001772,data/e4_ce_priority_seed2027/final_results.json,formal,1
e4_ce_priority_seed2028,E4_loss_sampling_ablation,3DRef,3DRef,val,val,2028,best_F1_on_val,data/e4_ce_priority_seed2028/best_model.pth,full,,priority,ce,none,0.9793,0.9813,0.9913,0.9863,0.9729,0.9971369931051848,data/e4_ce_priority_seed2028/final_results.json,formal,1
e4_ce_random_seed2026,E4_loss_sampling_ablation,3DRef,3DRef,val,val,2026,best_F1_on_val,data/e4_ce_random_seed2026/best_model.pth,full,,random,ce,none,0.937,0.9246,0.9573,0.9407,0.888,0.9911641407523881,data/e4_ce_random_seed2026/final_results.json,formal,1
e4_ce_random_seed2027,E4_loss_sampling_ablation,3DRef,3DRef,val,val,2027,best_F1_on_val,data/e4_ce_random_seed2027/best_model.pth,full,,random,ce,none,0.9397,0.9221,0.9658,0.9435,0.893,0.9892591717466108,data/e4_ce_random_seed2027/final_results.json,formal,1
e4_ce_random_seed2028,E4_loss_sampling_ablation,3DRef,3DRef,val,val,2028,best_F1_on_val,data/e4_ce_random_seed2028/best_model.pth,full,,random,ce,none,0.9379,0.9256,0.9582,0.9416,0.8896,0.9917163459980577,data/e4_ce_random_seed2028/final_results.json,formal,1
e4_focal_random_seed2026,E4_loss_sampling_ablation,3DRef,3DRef,val,val,2026,best_F1_on_val,data/e4_focal_random_seed2026/best_model.pth,full,,random,focal,none,0.8973,0.8305,0.9846,0.901,0.8199,0.9861337693891276,data/e4_focal_random_seed2026/final_results.json,formal,1
e4_focal_random_seed2027,E4_loss_sampling_ablation,3DRef,3DRef,val,val,2027,best_F1_on_val,data/e4_focal_random_seed2027/best_model.pth,full,,random,focal,none,0.8964,0.8297,0.9835,0.9001,0.8183,0.9873023266591151,data/e4_focal_random_seed2027/final_results.json,formal,1
e4_focal_random_seed2028,E4_loss_sampling_ablation,3DRef,3DRef,val,val,2028,best_F1_on_val,data/e4_focal_random_seed2028/best_model.pth,full,,random,focal,none,0.9007,0.8396,0.9801,0.9045,0.8256,0.9869055842859289,data/e4_focal_random_seed2028/final_results.json,formal,1
e4_wce_priority_seed2026,E4_loss_sampling_ablation,3DRef,3DRef,val,val,2026,best_F1_on_val,data/e4_wce_priority_seed2026/best_model.pth,full,,priority,weighted_ce,none,0.9711,0.9656,0.9965,0.9808,0.9623,0.9942693879757434,data/e4_wce_priority_seed2026/final_results.json,formal,1
e4_wce_priority_seed2027,E4_loss_sampling_ablation,3DRef,3DRef,val,val,2027,best_F1_on_val,data/e4_wce_priority_seed2027/best_model.pth,full,,priority,weighted_ce,none,0.9712,0.9651,0.9972,0.9809,0.9626,0.9958953644202252,data/e4_wce_priority_seed2027/final_results.json,formal,1
e4_wce_priority_seed2028,E4_loss_sampling_ablation,3DRef,3DRef,val,val,2028,best_F1_on_val,data/e4_wce_priority_seed2028/best_model.pth,full,,priority,weighted_ce,none,0.9704,0.9648,0.9964,0.9804,0.9615,0.9949128110565912,data/e4_wce_priority_seed2028/final_results.json,formal,1
e4_wce_random_seed2026,E4_loss_sampling_ablation,3DRef,3DRef,val,val,2026,best_F1_on_val,data/e4_wce_random_seed2026/best_model.pth,full,,random,weighted_ce,none,0.925,0.876,0.9892,0.9291,0.8677,0.9897787602989536,data/e4_wce_random_seed2026/final_results.json,formal,1
e4_wce_random_seed2027,E4_loss_sampling_ablation,3DRef,3DRef,val,val,2027,best_F1_on_val,data/e4_wce_random_seed2027/best_model.pth,full,,random,weighted_ce,none,0.9282,0.883,0.9874,0.9322,0.8731,0.9916588494627048,data/e4_wce_random_seed2027/final_results.json,formal,1
e4_wce_random_seed2028,E4_loss_sampling_ablation,3DRef,3DRef,val,val,2028,best_F1_on_val,data/e4_wce_random_seed2028/best_model.pth,full,,random,weighted_ce,none,0.9293,0.8816,0.9917,0.9334,0.8751,0.9907774019085014,data/e4_wce_random_seed2028/final_results.json,formal,1
e6_intensity_histmatch_seed2026,E6_intensity_correction,synth_intensity_corrected+3DRef,synth_intensity_corrected+3DRef,val,val,2026,best_F1_on_val,data/e6_intensity_histmatch_seed2026/best_model.pth,full,,priority,focal,histmatch,0.7965,0.7374,0.9627,0.8351,0.7169,0.954863000583041,data/e6_intensity_histmatch_seed2026/final_results.json,formal,1
